окно,вход_МСК,напр,R,PnL$,выход,сессия,день,глубина_POI,класс_POI,D1биас,по/против,MFE_R,до_PDH/PDL_R,стоп_пипс,удерж_дней
W5,2022-12-27 18:00,L,-1.04,-233,SL,НЙ,вт,2.63,глубже CE,L,по,1.32,1.15,27,1.2
W5,2023-02-16 12:30,S,2.98,655,TP,Лондон,чт,-2.92,у края,S,по,3.19,1.46,28,6.4
W5,2023-03-17 18:45,L,2.99,695,TP,НЙ,пт,-4.70,у края,L,по,3.02,1.14,34,3.8
W4,2023-04-24 11:45,L,-1.02,-205,SL,Лондон,пн,,н/д,L,по,1.37,0.98,43,1.3
W4,2023-05-08 17:45,S,2.99,585,TP,НЙ,пн,,н/д,L,против,3.05,0.42,38,3.0
W4,2023-06-08 15:30,L,1.87,388,TIME,НЙ,чт,4.15,глубже CE,L,по,2.17,0.60,60,7.0
W4,2023-06-20 16:00,S,-1.03,-221,SL,НЙ,вт,6.64,глубже CE,L,против,0.41,0.41,38,1.1
W4,2023-07-20 15:30,S,2.99,631,TP,НЙ,чт,,н/д,L,против,3.03,1.23,50,5.0
W4,2023-09-12 18:15,L,-1.04,-233,SL,НЙ,вт,15.18,глубже CE,S,против,1.44,1.57,24,1.9
W4,2023-10-25 20:30,S,-1.03,-226,SL,НЙ,ср,1.57,глубже CE,S,по,1.53,0.03,30,1.9
W4,2023-11-23 17:00,S,-1.03,-220,SL,НЙ,чт,0.52,глубже CE,L,против,0.19,0.33,37,1.0
W4,2023-12-11 17:15,S,-1.03,-215,SL,НЙ,пн,1.58,глубже CE,S,по,0.16,0.16,38,0.8
W4,2023-12-29 22:15,S,2.99,614,TP,НЙ,пт,,н/д,L,против,3.03,0.18,40,4.7
W4,2024-01-25 11:15,L,-1.05,-228,SL,Лондон,чт,0.81,глубже CE,S,против,0.51,0.51,21,0.2
W3,2024-03-27 11:15,S,1.17,234,TIME,Лондон,ср,-0.08,у края,S,по,2.48,0.33,40,7.0
W3,2024-04-19 10:15,L,1.85,379,TIME,Лондон,пт,,н/д,S,против,2.18,0.64,41,7.0
W3,2024-05-23 16:45,S,-1.04,-220,SL,НЙ,чт,4.00,глубже CE,L,против,1.10,1.10,27,3.8
W3,2024-06-25 20:45,L,-1.04,-217,SL,НЙ,вт,1.22,глубже CE,S,против,0.20,1.34,23,0.6
W3,2024-08-13 19:30,L,2.98,607,TP,НЙ,вт,,н/д,L,по,3.10,1.17,28,5.9
W3,2024-09-26 17:30,L,-1.02,-221,SL,НЙ,чт,4.87,глубже CE,L,по,1.03,0.57,43,4.1
W2,2024-12-05 11:15,L,-1.03,-205,SL,Лондон,чт,0.13,у края,L,по,2.24,1.20,39,5.3
W2,2024-12-31 15:45,S,2.98,585,TP,НЙ,вт,,н/д,S,по,3.55,1.55,32,2.1
W2,2025-01-16 18:30,L,2.99,620,TP,НЙ,чт,1.98,глубже CE,S,против,3.01,0.32,43,4.0
W2,2025-02-27 16:30,S,2.98,656,TP,НЙ,чт,,н/д,S,по,3.19,2.09,30,1.2
W2,2025-03-10 18:30,S,-1.02,-238,SL,НЙ,пн,,н/д,L,против,0.13,0.37,51,0.6
W2,2025-03-18 18:30,L,-1.02,-234,SL,НЙ,вт,0.46,до CE,L,по,0.47,0.54,40,0.7
W2,2025-04-16 11:30,S,-1.02,-229,SL,Лондон,ср,,н/д,L,против,0.26,1.63,43,0.4
W2,2025-04-18 15:00,L,2.99,655,TP,НЙ,пт,0.18,у края,L,по,3.19,0.32,47,2.6
W2,2025-04-22 19:15,S,2.99,694,TP,НЙ,вт,,н/д,L,против,3.32,0.82,41,0.3
W2,2025-04-29 11:15,L,-1.05,-257,SL,Лондон,вт,-54.33,у края,L,по,0.11,1.18,22,0.1
W2,2025-06-09 13:30,S,-1.05,-252,SL,Ланч,пн,4.56,глубже CE,L,против,2.14,1.50,21,1.1
W2,2025-09-02 10:00,S,2.98,702,TP,Лондон,вт,21.57,глубже CE,S,по,3.20,3.25,22,0.2
W2,2025-09-15 13:00,L,2.99,747,TP,Ланч,пн,44.25,глубже CE,L,по,3.44,0.50,49,2.3
W1-live,2025-10-15 18:15,L,2.98,596,TP,НЙ,ср,-0.31,у края,S,против,3.29,0.59,23,1.4
W1-live,2025-12-29 20:15,S,1.12,237,TIME,НЙ,пн,2.66,глубже CE,L,против,2.59,0.10,36,7.0
W1-live,2026-02-25 20:00,L,-1.02,-221,SL,НЙ,ср,,н/д,S,против,0.38,0.06,45,4.2
W1-live,2026-03-04 23:30,L,-1.04,-220,SL,НЙ,ср,,н/д,S,против,0.15,0.43,27,0.3
W1-live,2026-03-11 18:00,S,2.99,621,TP,НЙ,ср,-5.30,у края,S,по,3.04,0.43,36,1.7
W1-live,2026-03-18 14:45,L,-1.03,-228,SL,Ланч,ср,1.00,глубже CE,S,против,0.10,0.30,29,0.0
W1-live,2026-03-26 18:30,S,-1.05,-226,SL,НЙ,чт,-9.90,у края,S,по,0.62,0.62,22,0.2
W1-live,2026-04-06 10:45,L,2.14,452,TIME,Лондон,пн,268.00,глубже CE,S,против,2.96,0.12,59,7.0
W1-live,2026-05-11 10:45,L,-1.04,-228,SL,Лондон,пн,35.67,глубже CE,L,по,0.58,0.58,27,1.0
W1-live,2026-06-03 15:45,S,-1.04,-225,SL,НЙ,ср,-3.28,у края,S,по,0.27,0.26,22,0.9
W1-live,2026-07-20 15:00,S,1.39,293,TIME,НЙ,пн,2.00,глубже CE,S,по,2.14,0.73,27,7.0
