# NAS100 TRD export, riskPct=2, baseline config (in_20=false), 13.07.2026
# TRD|dir|entryMs|exitMs|entry|sl|tp|profit
# window 2021-10-01 (Итог -156.76 / 14)
TRD|S|1701270300000|1701275400000|16085.03|16168.28|16001.65|248.7
# window 2024-04-01 (Итог +1648.86 / 16)
TRD|S|1702997100000|1702998900000|16754.83|16787.58|16703.2|-206.18
TRD|S|1703089800000|1703100900000|16820.47|16864.97|16753.72|291.72
TRD|L|1704292800000|1704294600000|16458.55|16407.05|16561.93|-204.75
TRD|S|1705071600000|1705392000000|16821.5|16904.25|16728.75|212.29
TRD|S|1705590000000|1705592100000|16866|16928.63|16711.38|-203.84
TRD|S|1705682100000|1705683600000|17108.38|17144.75|16981.88|-201.96
TRD|S|1706106900000|1706109300000|17515.63|17572.63|17429.88|-191.73
TRD|S|1706196600000|1706201400000|17589.75|17618.75|17471.25|-195
TRD|L|1706720400000|1706730000000|17256.83|17181.83|17362.5|252.48
TRD|S|1708354500000|1708393500000|17732.1|17748.1|17660.47|847.28
TRD|S|1708700100000|1708704000000|18030.5|18095.38|17950.38|255.04
TRD|S|1708958400000|1708965900000|17945.25|18003.25|17875.13|-212.4
TRD|L|1709132700000|1709154300000|17867.5|17833.13|17975.75|-212.4
TRD|L|1710855900000|1710866700000|17833.5|17806.5|18005.38|1285.5
TRD|S|1711028700000|1711038300000|18396.2|18465.45|18284.83|-231.99
TRD|L|1711374600000|1711436400000|18251.45|18180.95|18365.95|364.8
# window 2024-07-01 (Итог +1117.10 / 12)
TRD|L|1710855900000|1710866700000|17833.5|17806.5|18005.38|1268.36
TRD|S|1711028700000|1711038300000|18396.2|18465.45|18284.83|-224.96
TRD|L|1711374600000|1711436400000|18251.45|18180.95|18365.95|353.4
TRD|S|1712238600000|1712254500000|18314.05|18365.43|18176.18|604.56
TRD|L|1713194700000|1713198000000|18023.85|17987.85|18181.6|-244.2
TRD|S|1714397700000|1714398000000|17769.25|17821.88|17707.75|268.84
TRD|L|1714579800000|1714586700000|17340.25|17284.38|17409.88|297.13
TRD|S|1715181300000|1715268600000|18079.8|18139.05|17967.47|-247.23
TRD|L|1717083000000|1717096800000|18625.85|18561.1|18725.35|-243.09
TRD|S|1718804100000|1718844300000|19953.83|19964.08|19915.83|-259.9
TRD|L|1718979000000|1719234300000|19724|19642.75|19815.75|-230.44
TRD|L|1719237000000|1719240000000|19664.55|19592.8|19755.55|-225.37
# window 2024-10-01 (Итог +157.26 / 13)
TRD|S|1718804100000|1718844300000|19953.83|19964.08|19915.83|-220.35
TRD|L|1718979000000|1719234300000|19724|19642.75|19815.75|-197.52
TRD|L|1719237000000|1719240000000|19664.55|19592.8|19755.55|-189.02
TRD|S|1720445700000|1720446600000|20381.47|20413.22|20348.22|-193.52
TRD|S|1720618500000|1720619100000|20512.25|20544.38|20459.3|-188.67
TRD|L|1722267900000|1722303300000|19080.35|18968.6|19212.6|-180.32
TRD|S|1722347100000|1722351600000|19106.1|19172.1|18929.72|457.34
TRD|L|1722613200000|1722808800000|18490.25|18261.25|18851.38|-184.08
TRD|L|1722952200000|1722963300000|18021.43|17853.55|18322.05|300.2
TRD|S|1723040100000|1723054500000|18329.4|18449.53|17924.9|606
TRD|S|1724333700000|1724337900000|19896.53|19937.65|19779.15|561.12
TRD|S|1726580700000|1726584300000|19502.83|19582.58|19387.08|-210.08
TRD|S|1726753800000|1726755300000|19755.95|19833.33|19397.7|-203.84
# window 2025-02-01 (Итог -88.91 / 15)
TRD|S|1729267800000|1729519500000|20285.7|20366.95|20157.83|-197.52
TRD|L|1729524600000|1729540800000|20222.45|20183.95|20366.33|717
TRD|L|1729785300000|1729786200000|20177.75|20114.5|20281.75|-212.19
TRD|S|1731423600000|1731433500000|21086.25|21144.63|21023.13|219.45
TRD|S|1732035000000|1732037400000|20575.2|20611.08|20288.45|-214.02
TRD|L|1732201800000|1732202700000|20600.68|20494.93|20805.3|-202.92
TRD|S|1732287900000|1732299000000|20706|20793.25|20614.38|-203.09
TRD|S|1732634100000|1732721700000|20849.03|20952.9|20683.78|313.12
TRD|S|1733243700000|1733257200000|21157.55|21208.18|21088.3|-206.8
TRD|L|1733851200000|1733857200000|21450.18|21408.55|21499.55|-204.96
TRD|S|1734103500000|1734355500000|21779.95|21884.45|21602|-189.9
TRD|S|1734618900000|1734640500000|21315.5|21401|21132.88|400.84
TRD|L|1735224900000|1735309200000|21720.63|21634.25|21867.03|-201.02
TRD|L|1735658100000|1735660800000|21206.98|21120.85|21311.1|-191.84
TRD|L|1738075800000|1738077600000|21139.08|21035.45|21297.83|284.94
# window 2025-05-01 (Итог -1179.22 / 11)
TRD|L|1738075800000|1738077600000|21139.08|21035.45|21297.83|300.77
TRD|S|1738855200000|1738875000000|21697.65|21749.03|21603.65|-209.6
TRD|S|1739457300000|1739458800000|21769.25|21864.5|21667.38|-202.02
TRD|S|1739546100000|1739548500000|22048.1|22080.85|21959.85|-202.8
TRD|L|1741273200000|1741280400000|20325.38|20191.88|20610.35|-188.44
TRD|S|1742221500000|1742234400000|19701.38|19832.88|19537|-185.5
TRD|L|1743600900000|1743607500000|19328.13|19146.75|19521.5|192.9
TRD|L|1743694200000|1743708600000|18708.7|18548.58|19004.45|-177.32
TRD|L|1743778800000|1743786900000|17899.35|17508.47|18558.72|-156.76
TRD|L|1744902300000|1745186400000|18263|18147.7|18536.95|-174.45
TRD|S|1745423100000|1745505300000|18701.5|19052.5|18245.75|-176
# window 2025-08-01 (Итог +1209.83 / 11)
TRD|S|1745423100000|1745505300000|18701.5|19052.5|18245.75|-176
TRD|S|1746114600000|1746129600000|19898.53|20027.4|19718.53|269.25
TRD|L|1746632400000|1746633000000|19764.13|19705.25|20044.25|-203.66
TRD|S|1748269800000|1748331000000|21193.88|21252.38|20896.75|-196.35
TRD|S|1749045000000|1749045900000|21705.23|21754.98|21617.85|330.22
TRD|S|1749139800000|1749141900000|21830.25|21896.25|21677.13|458.1
TRD|S|1750427100000|1750629600000|21841.05|21908.45|21476.15|1129.64
TRD|S|1750780200000|1750782300000|22149.45|22166.65|21850.3|-245.7
TRD|S|1750860600000|1750922100000|22255.35|22329.55|22166|-225.9
TRD|S|1750948800000|1750950900000|22341.15|22376.75|22218.5|-226.92
TRD|S|1753796700000|1753802100000|23451.55|23513.85|23366.1|297.15
# window 2025-12-01 (Итог +1356.93 / 18)
TRD|L|1755525600000|1755528300000|23695.25|23648.25|23794.6|-202.02
TRD|L|1756130100000|1756135800000|23449.15|23375.35|23535|221.78
TRD|S|1756310400000|1756318200000|23554.25|23568.05|23471.3|-214.6
TRD|S|1756389000000|1756394100000|23556.35|23682.05|23428.5|-190.2
TRD|S|1758207000000|1758208500000|24491.25|24554.05|24245.9|-191.4
TRD|S|1759245000000|1759245900000|24603.95|24638.75|24532.7|382.32
TRD|L|1760450100000|1760536800000|24397.15|24245.15|24865.4|561.24
TRD|S|1760542200000|1760548200000|24835.55|24938.55|24564.8|540.4
TRD|S|1760713800000|1760718600000|24577.65|24795.95|24246.1|-197.37
TRD|S|1761313500000|1761314700000|25336.25|25381.95|25125.5|-214.82
TRD|S|1761659400000|1761668700000|25888.75|25948.45|25798|-212.45
TRD|S|1761746400000|1761762900000|26143.75|26182.15|26023.1|637.06
TRD|S|1762180500000|1762222800000|26042.45|26134.05|25849.8|442.06
TRD|S|1762790100000|1762799700000|25416.45|25559.75|25121.7|-216.45
TRD|L|1762872900000|1762873500000|25522.95|25456.25|25666.2|-223.74
TRD|L|1763130900000|1763135100000|24710.55|24537.25|25061.7|420.84
TRD|L|1763483100000|1763565300000|24565.25|24297.65|24875.7|247.92
TRD|S|1764340800000|1764345900000|25303.55|25367.35|25238.75|-233.64
# window 2026-03-01 (Итог +206.35 / 19)
TRD|S|1762790100000|1762799700000|25416.45|25559.75|25121.7|-187.59
TRD|L|1762872900000|1762873500000|25522.95|25456.25|25666.2|-196.62
TRD|L|1763130900000|1763135100000|24710.55|24537.25|25061.7|385.77
TRD|L|1763483100000|1763565300000|24565.25|24297.65|24875.7|216.93
TRD|S|1764340800000|1764345900000|25303.55|25367.35|25238.75|-207.68
TRD|L|1765290900000|1765299600000|25605.65|25526.05|25694.2|220
TRD|L|1765550100000|1765550700000|25589.85|25511.45|25809.5|-206.44
TRD|S|1765809300000|1765811700000|25280.25|25394.4|25119.8|272
TRD|S|1766501400000|1766507100000|25473.45|25520.35|25378.2|-205.97
TRD|S|1766589600000|1766592300000|25586.25|25617.15|25549.7|-207.35
TRD|S|1767106800000|1767107400000|25524.15|25562.95|25473.3|252
TRD|S|1768574400000|1768576500000|25666.05|25736.55|25545|337.4
TRD|L|1768834200000|1768896300000|25136.05|25083.55|25525.8|-208.65
TRD|L|1770302100000|1770303900000|24801.25|24554.55|25069.5|-198.24
TRD|S|1770736200000|1770748200000|25305.35|25360.85|25193.2|401.76
